timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788187157.755,1,10.0.0.13,0,0,0.00,1,443.20,94844.80,474224.0,0.000,3.00
1788187157.755,1,10.0.0.12,4,1,1.40,16,14.20,1369.60,428.0,0.000,3.00
1788187157.757,2,10.0.0.11,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187157.757,2,10.0.0.13,0,0,0.00,1,443.20,94844.80,474224.0,0.000,0.00
1788187157.757,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187157.757,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187159.755,1,10.0.0.11,3,1,1.40,13,11.60,1147.20,441.2,0.000,2.50
1788187159.755,1,10.0.0.13,0,0,0.00,1,466.20,99766.80,498834.0,0.000,2.50
1788187159.755,1,10.0.0.12,4,1,1.40,15,13.40,1257.40,419.1,0.000,2.50
1788187159.757,2,10.0.0.11,3,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187159.757,2,10.0.0.13,0,0,0.00,1,466.20,99766.80,498834.0,0.000,0.00
1788187159.757,2,10.0.0.12,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187159.757,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187161.769,2,10.0.0.11,5,1,2.40,0,0.00,0.00,0.0,0.000,4.00
1788187161.769,2,10.0.0.13,0,0,0.00,1,484.20,103618.80,518094.0,0.000,4.00
1788187161.769,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,4.00
1788187161.769,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,4.00
1788187161.770,1,10.0.0.11,5,1,2.40,19,17.60,1692.80,445.5,0.000,0.00
1788187161.770,1,10.0.0.13,0,0,0.00,1,484.20,103618.80,518094.0,0.000,0.00
1788187161.770,1,10.0.0.12,2,1,0.40,11,9.80,925.20,420.5,0.000,0.00
1788187163.757,1,10.0.0.11,5,1,2.60,20,18.20,1774.20,443.6,0.000,1.00
1788187163.757,1,10.0.0.13,0,0,0.00,1,502.20,107470.80,537354.0,0.000,1.00
1788187163.757,1,10.0.0.12,2,1,0.40,9,8.00,732.40,406.9,0.000,1.00
